category                               predmet                                                oborot availibility
Аксессуары                             Очкидляювелирныхработ                                       5 Дефицит
Красота                                Фольгадляманикюра                                          32 Дефицит
Посудаиинвентарь                       Консервныеножи                                             30 Дефицит
Товарыдлявзрослых                      Возбуждающиесредства                                       25 Дефицит
Продукты                               Пастыфруктовые                                             18 Дефицит
Строительныеинструменты                Опрессовщики                                               13 Дефицит
Дом                                    Колокольчики                                               25 Дефицит
Сантехника                             Фильтрыгрубойочистки                                       87 Нормальнаядоступность
Вседлясадоводства                      Фотосеткидлядекора                                         15 Дефицит
Спортивнаяодежда                       Каприспортивные                                           111 Нормальнаядоступность
Садоваятехника                         Дровоколыэлектрические                                      0 Дефицит
Аксессуары                             Замкибагажные                                              48 Дефицит
Мебель                                 Креслаплетеные                                            999 Избыток
Спортивныйтовар                        Веревкиальпинистские                                       43 Дефицит
Спортивнаяобувь                        Шиповки                                                    52 Дефицит
Автомобильныетовары                    Фильтрысалонные                                            11 Дефицит
Бытоваятехника                         Весы                                                       19 Дефицит
Одежда                                 Рубашкипижамные                                            57 Дефицит
Ювелирныеукрашения                     Ювелирныесерьги                                            51 Дефицит
Хозяйственныетовары                    Клипсыдлястиркиихранения                                  217 Избыток
Товарыдляживотных                      Повязкипослеоперационныедляживотных                       134 Избыток
Строительныематериалы                  Аркимежкомнатные                                            0 Дефицит
Бытоваятехника                         Спейсеры                                                   31 Дефицит
Строительныеинструменты                Инструментыдлятейпированиягипсокартона                    231 Избыток
Автомобильныетовары                    Подстаканникиэлектрические                                 44 Дефицит
Одеждадлямалышей                       Пинетки                                                    72 Нормальнаядоступность
Товарыдлямалышей                       Молокоотсосыэлектрические                                  62 Нормальнаядоступность
Бытоваятехника                         Оборудованиедлярозлива                                      4 Дефицит
Строительныеинструменты                Съемникихомутов                                             1 Дефицит
Товарыдлявзрослых                      Вакуумныепомпыэротик                                       35 Дефицит
Аксессуары                             Чемоданы                                                   33 Дефицит
Здоровье                               Таблетницы                                                 52 Дефицит
Садовыеинструменты                     Насадки-кусторезы                                          87 Нормальнаядоступность
Техникадлякухни                        Запчастидляхолодильников                                    4 Дефицит
Автомобильныетовары                    Центральноеэлектрооборудование                            999 Избыток
Спортивныйтовар                        Болтыдлясамокатов                                         138 Избыток
Вседлясадоводства                      Садовыеограждения                                         101 Нормальнаядоступность
Автомобильныетовары                    Цепипривода                                                 0 Дефицит
Спортивнаяодежда                       Велобахилы                                                171 Избыток
Аксессуарыдлямалышей                   Чепчики                                                    83 Нормальнаядоступность
Одежда                                 Килтыбанные                                                24 Дефицит
Спортивнаяодежда                       Защитагрудиженская                                         19 Дефицит
Дом                                    Муляжикниг                                                 37 Дефицит
Посудаиинвентарь                       Ручкидлясковородок                                         31 Дефицит
Спортивныйтовар                        Ледянки                                                    30 Дефицит
Вседлясадоводства                      Фитингидлянасосов                                          74 Нормальнаядоступность
Строительныеинструменты                Кругишлифовальные                                          32 Дефицит
Хозяйственныетовары                    Сольдляпосудомоечноймашины                                 31 Дефицит
Красота                                Влажныесалфетки                                            66 Нормальнаядоступность
Посудаиинвентарь                       Миски                                                      37 Дефицит
Хозяйственныетовары                    Веревкибельевые                                            56 Дефицит
Красота                                Искусственнаякожадляпрактики                               31 Дефицит
Телевизорыиаудиотехника                Модуляторывидеосигнала                                     25 Дефицит
Садоваятехника                         Мотоблоки                                                   0 Дефицит
Спортивныеаксессуары                   Сумкиспортивные                                            47 Дефицит
Здоровье                               Бандажиплечевые                                            77 Нормальнаядоступность
Канцелярскиетовары                     Кистихудожественные                                        59 Дефицит
Спортивныйтовар                        Рукояткидроссельнойзаслонки                                 0 Дефицит
Продукты                               Программыпитания                                           18 Дефицит
Строительныематериалы                  ПлитыОСП                                                    0 Дефицит
Спортивныйтовар                        Боксыдлярыболовныхпринадлежностей                          11 Дефицит
Рукоделие                              Лентыизмерительные                                         56 Дефицит
Товарыдлявзрослых                      Грацииэротик                                               73 Нормальнаядоступность
Хранениевещей                          Вешалкинадверь                                             45 Дефицит
Красота                                Восковыеполоски                                            27 Дефицит
Одежда                                 Футболки18+                                                 8 Дефицит
Здоровье                               Зондыректальные                                            14 Дефицит
Бытоваятехника                         Машинкидляполировкиволос                                   19 Дефицит
Красота                                Краскидляволос                                             47 Дефицит
Строительныеинструменты                Аппаратыдлясваркитруб                                      13 Дефицит
Строительныематериалы                  Щитымебельные                                               0 Дефицит
Обувь                                  Слиперы                                                   238 Избыток
Вседлясадоводства                      Газоныискусственные                                        29 Дефицит
Посудаиинвентарь                       Оболочкидляколбасискусственные                             18 Дефицит
Строительныематериалы                  Мешкистроительные                                          47 Дефицит
Автомобильныетовары                    Проводаприкуривания                                        29 Дефицит
Аксессуары                             Заглушкидлягаджетов                                        36 Дефицит
Спортивныйтовар                        Насадкирыболовные                                          34 Дефицит
Спортивныйтовар                        Кроватикемпинговые                                         13 Дефицит
Техникадлякухни                        Ветчинницыэлектрические                                     0 Дефицит
Хозяйственныетовары                    Щеткикухонные                                              44 Дефицит
Аксессуарыдляобуви                     Жирыдляобуви                                               51 Дефицит
Спортивныйтовар                        Полировальныекамни                                        999 Избыток
Садоваятехника                         Измельчителикормов                                          2 Дефицит
Электроника                            Декодерыдляуправлениясветом                                16 Дефицит
Спортивныйтовар                        Канырыболовные                                             21 Дефицит
Спортивнаяодежда                       Кимоноспортивное                                           47 Дефицит
Спортивныйтовар                        Черпакидлялодок                                             0 Дефицит
Спортивныйтовар                        Питьевыесистемы                                            72 Нормальнаядоступность
Аксессуары                             Тату-рукава                                                59 Дефицит
Автомобильныетовары                    Крышкирадиатора                                             4 Дефицит
Вседлясадоводства                      Семена                                                    114 Нормальнаядоступность
Спортивныйтовар                        Булавы                                                     38 Дефицит
Автомобильныетовары                    Пневмобаллоныдляавто                                       23 Дефицит
Товарыдляживотных                      Поддоныдляклетки                                           17 Дефицит
Ювелирнаябижутерия                     Шармыювелирнаябижутерия                                    38 Дефицит
Хозяйственныетовары                    Сольтаблетированная                                         8 Дефицит
Здоровье                               Лестницыреабилитационные                                    4 Дефицит
Автомобильныетовары                    Передниефары                                                9 Дефицит
Спортивныеаксессуары                   Меховушки                                                  61 Нормальнаядоступность
Аксессуары                             Сумки                                                      51 Дефицит
Умныйдомибезопасность                  Мониторывидеодомофона                                      25 Дефицит
Сетевоеоборудование                    Роутеры                                                    18 Дефицит
Продукты                               Смесидлядесертов                                           10 Дефицит
Рукоделие                              Прищепкидекоративные                                       26 Дефицит
Красота                                Защитадляклип-кордов                                       20 Дефицит
Автомобильныетовары                    Адаптерыдлящетокстеклоочистителя                            5 Дефицит
Продукты                               Орехивсиропе                                                9 Дефицит
Продукты                               Рожь                                                       52 Дефицит
СпецодеждаиСИЗы                        Фартукимедицинские                                        181 Избыток
Вседлясадоводства                      Проращивателисемян                                         35 Дефицит
Строительныематериалы                  Шиферволновой                                               0 Дефицит
Спортивныйтовар                        Веломобили                                                 25 Дефицит
Сантехника                             Арматурасливная                                            28 Дефицит
ФотоиВидеотехника                      Дисплеидлякамер                                             4 Дефицит
Продукты                               Мука                                                       20 Дефицит
Спортивныеаксессуары                   Креплениядлялыжероллеров                                  302 Избыток
Строительныематериалы                  Пенымонтажные                                              14 Дефицит
Сантехника                             Смесители                                                  25 Дефицит
Автомобильныетовары                    Тормозныешланги                                             0 Дефицит
Товарыдлявзрослых                      Стрэпыэротик                                              163 Избыток
Сантехника                             Люкиревизионные                                             4 Дефицит
Садовыеинструменты                     Топоры                                                     15 Дефицит
СпецодеждаиСИЗы                        Напальчникиодноразовые                                     36 Дефицит
Одеждадлямалышей                       Паркидлямалышей                                           347 Избыток
Одежда                                 Лонгсливы                                                  65 Нормальнаядоступность
Дом                                    Рулоннаяизоляция                                            1 Дефицит
Дом                                    Плейсматы                                                  50 Дефицит
Товарыдлямалышей                       Детскиегоршки                                              39 Дефицит
Автомобильныетовары                    Знакиаварийнойостановки                                    35 Дефицит
Автомобильныетовары                    Бачкирасширительные                                         1 Дефицит
Товарыдляотдыхаикемпинга               Средствадлябассейнов                                      171 Избыток
Строительныематериалы                  Другиестроительныекрепления                                11 Дефицит
Детскоепитание                         Сухарикидетские                                            67 Нормальнаядоступность
Сантехника                             Фитингиканализационные                                      1 Дефицит
Посудаиинвентарь                       Мешкидлязамешиваниятеста                                   62 Нормальнаядоступность
Аксессуары                             Ключницы                                                   63 Нормальнаядоступность
Ювелирнаябижутерия                     Кольеювелирнаябижутерия                                    81 Нормальнаядоступность
Здоровье                               Зеленки                                                    47 Дефицит
Красота                                Клейдлянаращиванияресниц                                   13 Дефицит
Автомобильныетовары                    Стеклоподъемники                                           17 Дефицит
СпецодеждаиСИЗы                        Шапочкиодноразовые                                         20 Дефицит
Дом                                    Масладляаромаламп                                          39 Дефицит
Спортивныйтовар                        Сноуборды                                                 999 Избыток
СпецодеждаиСИЗы                        Комплектыодноразовыхматериалов                             26 Дефицит
Продукты                               Крупапшеничная                                             18 Дефицит
Рукоделие                              Устройствадлянамоткипряжи                                  15 Дефицит
Автомобильныетовары                    Тентыдляквадроциклов                                       34 Дефицит
Канцелярскиетовары                     Маслахудожественные                                        11 Дефицит
Товарыдляживотных                      Смесилечебныедляживотных                                    9 Дефицит
Товарыдляживотных                      Пакетыдляуборкизаживотными                                 53 Дефицит
Красота                                Смывкакраскидляволос                                       19 Дефицит
Автомобильныетовары                    Сальникиавтомобильные                                       6 Дефицит
Ювелирныеукрашения                     Ювелирныецепочкидляочков                                   66 Нормальнаядоступность
Хранениевещей                          Коробкикартонные                                            3 Дефицит
Автомобильныетовары                    Украшениядляавтомобиля                                     68 Нормальнаядоступность
Спортивныйтовар                        Бодибары                                                    2 Дефицит
Спортивныйтовар                        Покрышкивелосипедные                                       22 Дефицит
Канцелярскиетовары                     Карандаши                                                  74 Нормальнаядоступность
Спортивныйтовар                        Багажники                                                  38 Дефицит
Красота                                Очкидлясолярия                                             58 Дефицит
Дом                                    Стеклянныеклоши                                            12 Дефицит
СпецодеждаиСИЗы                        Маскиодноразовые                                           95 Нормальнаядоступность
Здоровье                               Каплиушные                                                 14 Дефицит
Канцелярскиетовары                     Дневники                                                  163 Избыток
Книжнаяпродукцияидиски                 Атласыгеографические                                       64 Нормальнаядоступность
Аксессуарыдлямалышей                   Капорыдлямалышей                                          139 Избыток
Мебель                                 Доскигладильныевстроенные                                   5 Дефицит
Бытоваятехника                         Осушителивоздуха                                           17 Дефицит
Хозяйственныетовары                    Мылохозяйственное                                          35 Дефицит
Садовыеинструменты                     Сумкидлясбораурожая                                        44 Дефицит
Красота                                Бритвенныенаборы                                           28 Дефицит
Красота                                Гель-лаки                                                  56 Дефицит
Спортивнаяобувь                        Носкидлягрепплинга                                         11 Дефицит
Электроника                            Аккумуляторыдлярадиоуправляемыхигрушек                     42 Дефицит
Товарыдляживотных                      Средствадляуборкизаживотными                               36 Дефицит
Спортивныйтовар                        Плунжерныеклапаны                                          21 Дефицит
Продукты                               Булочки                                                     0 Дефицит
Автомобильныетовары                    Лакидляавтомобиля                                           5 Дефицит
Автомобильныетовары                    НасосыдляГСМ                                                9 Дефицит
Автомобильныетовары                    Пепельницыавтомобильные                                    29 Дефицит
Посудаиинвентарь                       Ложкичайные                                                33 Дефицит
Автомобильныетовары                    Рожкидляшлема                                              37 Дефицит
Мебель                                 Уголкикухонные                                              0 Дефицит
Строительныеинструменты                Компрессорныестанции                                        7 Дефицит
Хозяйственныетовары                    Средствадлямытьяпродуктов                                  56 Дефицит
Строительныеинструменты                Наконечникикабельные                                        6 Дефицит
Спортивныеаксессуары                   Вальтрапы                                                  20 Дефицит
Посудаиинвентарь                       Молочники                                                  28 Дефицит
Посудаиинвентарь                       Овощечистки                                                55 Дефицит
Спортивнаяодежда                       Гамаши                                                     32 Дефицит
Продукты                               Ананасы                                                    15 Дефицит
Здоровье                               Футлярыстоматологические                                   62 Нормальнаядоступность
Хозяйственныетовары                    Сушилкидлябелья                                            12 Дефицит
Продукты                               Черешня                                                     0 Дефицит
Аксессуары                             Ремнидлячемоданов                                          15 Дефицит
Спортивныйтовар                        Шнурыплетеные                                              41 Дефицит
Спортивныеаксессуары                   Трокидлялошади                                            196 Избыток
Продукты                               Хлопьяовсяные                                              22 Дефицит
Канцелярскиетовары                     Файлы-вкладыши                                             50 Дефицит
Красота                                Шампунисухие                                               45 Дефицит
Посудаиинвентарь                       Френч-прессы                                               39 Дефицит
Периферияиаксессуары                   Коврикидлямыши                                             29 Дефицит
Товарыдляотдыхаикемпинга               Беспламенныенагревателипищи                                31 Дефицит
Цифровойконтент                        Цифровыевидеокурсы                                        999 Избыток
Автомобильныетовары                    Склизыдляснегоходов                                         1 Дефицит
Дом                                    Сумкидляланчбоксов                                         66 Нормальнаядоступность
Спортивныеаксессуары                   Полотнадлябеговыхдорожек                                   80 Нормальнаядоступность
Продукты                               Консервыягодные                                             7 Дефицит
Красота                                Гелидлямоделированияногтей                                 51 Дефицит
Строительныематериалы                  Пробковыеполы                                               1 Дефицит
Профессиональныемузыкальныеинструменты Тарелкимузыкальные                                          5 Дефицит
Хозяйственныетовары                    Средствадляпароконвектоматов                                2 Дефицит
Продукты                               Хлопьяржаные                                                5 Дефицит
Вседлясадоводства                      Удобрения                                                 999 Избыток
Хозяйственныетовары                    Средствадлямоеквысокогодавления                            28 Дефицит
Дом                                    Часынастенные                                              31 Дефицит
Спортивныеаксессуары                   Беруши                                                     50 Дефицит
Одежда                                 Свитшоты                                                   68 Нормальнаядоступность
Обувь                                  Балетки                                                    66 Нормальнаядоступность
Строительныеинструменты                Спуджеры                                                    8 Дефицит
Посудаиинвентарь                       Бутылки                                                    23 Дефицит
Автомобильныетовары                    Стойкиамортизатора                                          1 Дефицит
Профессиональныемузыкальныеинструменты Клаве                                                      12 Дефицит
Книжнаяпродукцияидиски                 Проектыдомов                                              999 Избыток
Вседлясадоводства                      Распределителисадовые                                      89 Нормальнаядоступность
Товарыдляживотных                      Тестерыводыдляаквариума                                    22 Дефицит
Игрушки                                Аксессуарыдляпазлов                                        29 Дефицит
Ювелирныеукрашения                     Ювелирныезаколки                                           57 Дефицит
Товарыдляживотных                      Декорациидлямуравьиныхферм                                 33 Дефицит
Одеждадлямалышей                       Крестильныебрюкидлямалышей                                999 Избыток
Строительныематериалы                  Соединениядляподоконника                                  999 Избыток
Строительныеинструменты                Бокорезы                                                   16 Дефицит
Спортивныйтовар                        Подушкидлякувырков                                         17 Дефицит
Товарыдлявзрослых                      Колготкиэротик                                             57 Дефицит
Белье                                  Стрипсыдлядекольте                                         58 Дефицит
Товарыдляживотных                      Аквариумныенаборы                                          34 Дефицит
Автомобильныетовары                    Корпусаключейзажигания                                     53 Дефицит
Мебель                                 Наборымебелидлядетей                                       18 Дефицит
Головныеуборы                          Шапки-шлемы                                               115 Нормальнаядоступность
Рукоделие                              Цветыдекоративные                                          24 Дефицит
Товарыдлямалышей                       Клеенкидетские                                             52 Дефицит
Посудаиинвентарь                       Тендерайзеры                                               24 Дефицит
Мебель                                 Другиеполкидлядома                                         29 Дефицит
Мебель                                 Кроватидетские                                              3 Дефицит
Товарыдлявзрослых                      Свечиэротик                                                23 Дефицит
Товарыдляживотных                      Шапкидляживотных                                           15 Дефицит
Строительныематериалы                  Трубкитермоусадочные                                       27 Дефицит
Бытоваятехника                         Дарсонваль                                                 34 Дефицит
Строительныеинструменты                Зажимыдляопалубки                                          30 Дефицит
Продукты                               Рис                                                        21 Дефицит
Автомобильныетовары                    Комплектующиедвигателя                                      2 Дефицит
Спортивныеаксессуары                   Креплениядлясноуборда                                      22 Дефицит
ФотоиВидеотехника                      Сумкидляфотоаппаратов                                      17 Дефицит
Посудаиинвентарь                       Подставкидлясаджа                                          44 Дефицит
Строительныематериалы                  Патроныдляламп                                             14 Дефицит
Спортивныеаксессуары                   Полупальцы                                                 28 Дефицит
Автомобильныетовары                    Шарнирыкарданные                                           12 Дефицит
Строительныеинструменты                Ножипистолетные                                            28 Дефицит
Канцелярскиетовары                     Лупы                                                       20 Дефицит
Автомобильныетовары                    Опорыстоек                                                  0 Дефицит
Канцелярскиетовары                     Магнитныйвинил                                             29 Дефицит
Товарыдлямалышей                       Уголкидетские                                              52 Дефицит
Садоваятехника                         Триммерныенасадкисадовые                                  322 Избыток
Красота                                Закрепителидляресниц                                       20 Дефицит
СпецодеждаиСИЗы                        Фартукирабочие                                             40 Дефицит
Продукты                               Чай                                                        21 Дефицит
Спортивныйтовар                        Струныдляракеток                                           75 Нормальнаядоступность
Спортивныйтовар                        Коврикиспортивные                                          48 Дефицит
Здоровье                               Иглодержателихирургические                                 17 Дефицит
Ювелирныеукрашения                     Ювелирныешнурки                                            79 Нормальнаядоступность
Красота                                Патчи                                                      60 Дефицит
Автомобильныетовары                    Шкивыременные                                              11 Дефицит
Электроника                            Приборыконтролякачестваэлектроэнергии                       1 Дефицит
Спортивныйтовар                        Тормозныедиски                                             30 Дефицит
Умныйдомибезопасность                  Электроприводыдляокон                                      13 Дефицит
Белье                                  Чашкидлябюстгальтера                                      104 Нормальнаядоступность
Рукоделие                              Этюдники                                                   11 Дефицит
Аксессуарыдлямалышей                   Повязкинаголовудлямалышей                                  38 Дефицит
Спортивныйтовар                        Газовыебаллончики                                           1 Дефицит
Продукты                               Экстрактыпищевыерастительные                               17 Дефицит
Красота                                Косметическиеактивы                                        20 Дефицит
Садоваятехника                         Секаторыэлектрические                                      13 Дефицит
Игрушки                                Вертушкидетские                                            59 Дефицит
Спортивныйтовар                        Снегоступы                                                 15 Дефицит
Товарыдляживотных                      Пастыдляживотных                                           26 Дефицит
Спортивныйтовар                        Накладкиспортивные                                         18 Дефицит
Товарыдляотдыхаикемпинга               Аксессуарыдляхранениядров                                  15 Дефицит
Продукты                               Напиткикофейные                                            25 Дефицит
Автомобильныетовары                    Приводыстеклоочистителя                                   999 Избыток
Спортивныйтовар                        Трубкидляпитьевойсистемы                                   40 Дефицит
Товарыдлямалышей                       Ванночкидетские                                            35 Дефицит
Автомобильныетовары                    Прокладкиавтомобильные                                     20 Дефицит
Спортивнаяобувь                        Чешки                                                      51 Дефицит
Спортивныйтовар                        Одеялатуристические                                        63 Нормальнаядоступность
Красота                                Футлярыдляпомад                                            47 Дефицит
Строительныеинструменты                Пневмоножницы                                               0 Дефицит
Автомобильныетовары                    Ящикинавесныедлягрузовиков                                999 Избыток
Вседлясадоводства                      Тапенеры                                                   27 Дефицит
Сантехника                             Ограждениядушевые                                          70 Нормальнаядоступность
